Commit;Author;DOW;Month;DOM;Hour;Minute;Second;Year;TZ
0e8e7bcaf1d0c91a79a3a1a68d7599311e2de024;Dennis Yurichev;Sun;Oct;17;22;15;16;2021;+0300
6262d4155784712a3870cbdcd2196ce5c1ef820a;Dennis Yurichev;Mon;Sep;20;22;36;52;2021;+0300
67f5a7d09c86444d62abc3afbae879a570e6fdea;Dennis Yurichev;Thu;Sep;9;11;37;39;2021;+0300
14294b489ef9b320a4c5afd94fb4de7bdecc3678;Dennis Yurichev;Mon;Sep;6;18;11;32;2021;+0300
fec57c0900bf770abcbf81cbb7ea934cfee5df4f;Dennis Yurichev;Mon;Sep;6;10;36;37;2021;+0300
352a7f35f49fbbb8a3ddf3bbd6a90d969ebe5a9a;Dennis Yurichev;Mon;Sep;6;09;54;26;2021;+0300
271aef92555db52d849899893dc36020e19c8ea4;Dennis Yurichev;Mon;Jun;28;23;50;33;2021;+0300
359df8ba0fa732bea62f9074bdacff4cc9d99f58;Dennis Yurichev;Mon;Jun;28;21;03;29;2021;+0300
a1059fdd88ba8afccd7dd82e2c10e225c4483398;Dennis Yurichev;Mon;Jun;28;20;12;25;2021;+0300
e161bab8cb79672edf58dc2c8511bad2e1e37817;Dennis Yurichev;Sat;Apr;24;00;55;45;2021;+0300
7e8f70ea46710024e4c186974f986b93e471251c;Dennis Yurichev;Fri;Apr;23;22;57;43;2021;+0300
c27265dfb5d2cbf2518ddc88dc852f01b04d9f62;Dennis Yurichev;Fri;Apr;23;22;54;54;2021;+0300
ebfc69d6fe88e0fa5efd75e9eca12b706cac51dd;Dennis Yurichev;Fri;Apr;23;22;52;41;2021;+0300
973c6f51b183be236f60bd26ab95b2b0997c760e;Dennis Yurichev;Fri;Apr;23;03;00;39;2021;+0300
6d39de935c87aadd1e9edcb563241e019369d73e;Dennis Yurichev;Thu;Apr;22;23;59;02;2021;+0300
1a51fbfa7375009b3d0f38ba14705bc0708758a0;Dennis Yurichev;Mon;Nov;9;11;52;55;2020;+0200
b2f3cb1d60fa046ab1ca9af7c3fc9a3d5c70d1ca;Dennis Yurichev;Sun;Oct;25;00;06;21;2020;+0300
cae1c8614778df0d7a2fae18b3ec4ec3851c22f7;Dennis Yurichev;Tue;Oct;20;19;48;41;2020;+0300
59dc2406907f7c7868c7044c1b2347a787e5ae61;Dennis Yurichev;Mon;Oct;19;21;13;17;2020;+0300
5dac497c859bb1c2ffb030e893c27d7ddc5a9390;Dennis Yurichev;Sat;Oct;10;18;33;48;2020;+0300
029b48a30fda2d53bb08910c75d1f7514dce7d0d;Marcin Sokołowski;Thu;Oct;1;22;03;18;2020;+0200
08f7c0ff1791f5663a45c850de7e7506cae5dd40;Dennis Yurichev;Wed;Sep;30;02;48;01;2020;+0300
e955e14ce27078c0f5db2c6550e722834890445c;Dennis Yurichev;Wed;Sep;30;02;32;53;2020;+0300
a59c3a63816c0aa1d21d6e2082e5a5ef5ca67f37;Dennis Yurichev;Wed;Sep;30;00;04;53;2020;+0300
3237daf93469b263758b5a4e130552b05e5ba855;Dennis Yurichev;Tue;Sep;29;23;04;03;2020;+0300
15f700f1f418298770069fd0279e8ae8a43d4234;Dennis Yurichev;Tue;Sep;29;01;36;03;2020;+0300
024b1308f6736f2f4c7957fec339af1d80aa8bf0;Dennis Yurichev;Tue;Sep;29;01;04;05;2020;+0300
76f71500003383f4aa5b81327332dfc157066d5a;Dennis Yurichev;Mon;Sep;28;02;18;30;2020;+0300
bae3d86a2af51670eabc7f29fbd677b21280c15e;Dennis Yurichev;Mon;Sep;28;01;19;41;2020;+0300
0331056341a421fdc86059cf973a3fa9488cd388;Dennis Yurichev;Mon;Sep;28;00;42;11;2020;+0300
461a77b5cea8f3a3b2a493fa54174c76085efae6;Dennis Yurichev;Sun;Sep;27;06;50;14;2020;+0300
3c5aa2d2b77c59d8b95245fa6504ed93324f4e54;Dennis Yurichev;Tue;Sep;22;12;46;54;2020;+0300
175777468bc4b8f572a9aa6c2b7cc57bd10c4e56;Dennis Yurichev;Tue;Sep;22;11;01;23;2020;+0300
8c77b80d9215415c8d8db774baf210aef2c26138;Dennis Yurichev;Tue;Sep;22;10;55;03;2020;+0300
958cf974628a85153b6a53861acde91c34ff6f56;Marcin Sokołowski;Mon;Sep;21;21;38;56;2020;+0200
d668005b171f75ad4aced287ffebdf0f2bcf8273;Marcin Sokołowski;Mon;Sep;21;21;38;42;2020;+0200
d77a9411a195ac0a7961915599743c4597e65d58;Marc Remy;Sat;Sep;19;06;34;48;2020;+0200
98002d83f0e4c5ef474bc125903a7b0eb8c5cfd9;Marc Remy;Fri;Sep;18;21;11;34;2020;+0200
5902d8f99fed2a32791845b1b6a8ad31da93cb0e;Dennis Yurichev;Sat;Sep;19;09;39;22;2020;+0300
dda002a03e5e6513ff289f5ebdb4b98b86fa9096;Marc Remy;Mon;Sep;14;05;20;53;2020;+0200
0ae43d5469541f11c559a49def67e70f6b3b2f13;Marc Remy;Tue;Jul;14;18;39;00;2020;+0200
e48e1e5bf2c1071f177f2ce65015c976a3941040;Dennis Yurichev;Sat;Sep;12;15;23;11;2020;+0300
8f6f73cb23b1ce6f9efe305a574be3f275b0946f;Dennis Yurichev;Sat;Sep;12;12;00;57;2020;+0300
414ad7c5fc1c99ade43f252677757d5fcbf99744;Dennis Yurichev;Sat;Sep;12;09;00;36;2020;+0300
51ef7ab48ade09777fd9010dff839424fb76a8c4;Dennis Yurichev;Sat;Sep;12;08;54;38;2020;+0300
189747be2208fec57c66647fb613dd8f531c0b37;Dennis Yurichev;Sat;Sep;12;08;50;32;2020;+0300
72e3065fd843a649de65587081acec78df4bb670;Dennis Yurichev;Sat;Sep;12;08;25;57;2020;+0300
926e7fe78aa64aef4f431a5c8de6f07111063c2c;Dennis Yurichev;Sat;Sep;12;08;21;55;2020;+0300
dd793fa96cfbe777c744cf35bda9b5ccc9c8c62d;Dennis Yurichev;Sat;Sep;12;08;21;26;2020;+0300
5b0eb7b4f2bb465a0f7a2a095159cc83d7a7d7a7;Marcin Sokołowski;Fri;Sep;11;18;57;19;2020;+0200
e201b3723044927081300722585d8a6880be735e;Marcin Sokołowski;Fri;Sep;11;18;49;23;2020;+0200
c8b3c2c4b8766e1356a30d774a3568f5acd10a3b;Dennis Yurichev;Fri;Sep;11;08;16;46;2020;+0300
0639a9bc1d2d0d16e822b9e26fbe66c00fba1298;Dennis Yurichev;Fri;Sep;11;07;31;41;2020;+0300
ec39667457c8ca30586d9c1deea16858aa243a5c;Dennis Yurichev;Fri;Sep;11;06;52;50;2020;+0300
764b04501b00efb22062257e81f1aa5e65d3c648;Dennis Yurichev;Fri;Sep;11;03;29;50;2020;+0300
46bed437063c17e695ea68de7f1160b4384e50f9;Dennis Yurichev;Thu;Sep;10;22;22;33;2020;+0300
1299396693d33312405770f29835c4961e96663c;Dennis Yurichev;Thu;Sep;10;21;38;04;2020;+0300
da93a85c862f4bdab995a03a2cdad9bc4e2224e4;Dennis Yurichev;Thu;Sep;10;21;19;57;2020;+0300
9d4ce03126d24231b47984942ce89f53215eb83b;Marcin Sokołowski;Thu;Sep;10;11;30;22;2020;+0200
5b308927a791d3d539ab6cbf632e734f6da6a8e4;Dennis Yurichev;Wed;Sep;9;23;56;08;2020;+0300
97bc2277e0a10146b86c474d94174430442b72f3;Dennis Yurichev;Wed;Sep;9;23;43;03;2020;+0300
09d03632d237b6a21119cff4778a79b871b38c23;Dennis Yurichev;Wed;Sep;9;22;57;29;2020;+0300
53764d016925fee704efca27e341536859d22cb8;Dennis Yurichev;Wed;Sep;9;22;28;53;2020;+0300
2d9a54f9597181f1638a3933df999f8e28a8af64;Dennis Yurichev;Wed;Sep;9;20;13;23;2020;+0300
152930a4eadf93b5ed444252859a41f0ec252660;Dennis Yurichev;Wed;Sep;9;20;05;49;2020;+0300
2e58b704431a494126e307beddd6fa4af96c8a68;Dennis Yurichev;Wed;Sep;9;07;43;44;2020;+0300
f347971358feb34b0dd808024a9a3f3c6e12fa2b;Dennis Yurichev;Wed;Sep;9;05;59;19;2020;+0300
b73a1fc66b1c5450cc3ea928b705a5e8b6dd3dc0;Silvan Jegen;Sat;Aug;8;18;36;50;2020;+0200
cfd0ad20d41ff736a9baa50e606464476f9ac537;Dennis Yurichev;Wed;Sep;9;05;47;36;2020;+0300
95645fecdaef317d348c14d521181689db86ce9a;Dennis Yurichev;Wed;Sep;9;05;21;29;2020;+0300
348734732fd052e869858c2018ae4c7b8a1caa2b;Dennis Yurichev;Wed;Sep;9;01;59;09;2020;+0300
7a7ce65dca8bbaf14344707f2619c7271de3b99b;Dennis Yurichev;Tue;Sep;8;19;25;43;2020;+0300
96482090764479cc9b10a77fbc52111f82daafe4;Dennis Yurichev;Tue;Sep;8;19;23;22;2020;+0300
773b2469f84c8c1c31c7a06aa164d635de819bbd;m.sokolowski;Tue;Sep;8;16;21;43;2020;+0200
deb2fda516ec5a4591de3c55d0f6d65416da2a11;Marcin Sokołowski;Mon;Sep;7;21;48;32;2020;+0200
9bbcfb1c343fc6f1cae48429c516e7047d78e286;Marcin Sokołowski;Mon;Sep;7;21;28;21;2020;+0200
d507caa6077fdf5781f3462ca952be945e7d6da7;Marcin Sokołowski;Mon;Sep;7;18;50;53;2020;+0200
6d433f965eee49d245e12484aae32c319549052a;Dennis Yurichev;Mon;Sep;7;06;09;14;2020;+0300
9e72fb5fe308df626d98524c5b57de9e2366abb7;Dennis Yurichev;Mon;Sep;7;03;34;53;2020;+0300
1f0b3cda7917f476bfe5fa6476d93b7547e2e0af;Dennis Yurichev;Mon;Sep;7;02;51;24;2020;+0300
304b223323c7325b686eaace171b999199435396;Dennis Yurichev;Mon;Sep;7;02;25;58;2020;+0300
003dd6eda7d657c219d90a509e0cb25b21b056df;Dennis Yurichev;Mon;Sep;7;02;02;47;2020;+0300
4e7ce4ba1842b5e805c938009a183cbd255a3817;Dennis Yurichev;Sun;Sep;6;18;13;22;2020;+0300
0cc2421720a93a660c44806c64a91a6b2bf9e07e;Dennis Yurichev;Sun;Sep;6;18;11;27;2020;+0300
f106ffc1e28345893ce685533c5452a1d35d5146;Marcin Sokołowski;Sun;Sep;6;16;40;37;2020;+0200
be76b917dd050cc5c42d2a1ded903881ccf67d79;Marcin Sokołowski;Sun;Sep;6;16;03;45;2020;+0200
aa5a3affed879df19fb73c39a33a6fe13f4aaa87;Marcin Sokołowski;Sun;Sep;6;15;51;06;2020;+0200
e88dceb1cc1b37f7a2950cd945a19c7350dd77c4;Marcin Sokołowski;Sun;Sep;6;15;48;44;2020;+0200
595ee764cb8d604df64648091be115a61274b379;m.sokolowski;Sat;Sep;5;21;37;27;2020;+0200
61fd93a629f1653c85570b864e8239f15bb4e7d0;Dennis Yurichev;Sat;Sep;5;19;58;17;2020;+0300
983b9423dfdf922ce5ef5e7b7b8e808f35a814a1;Dennis Yurichev;Sat;Sep;5;19;40;19;2020;+0300
7944c7babfa3c538796a2c8cf1f65ac525641865;Dennis Yurichev;Fri;Sep;4;16;24;21;2020;+0300
991be9c2ffaf96b09788a4bcfac9398bc4898347;Marcin Sokołowski;Thu;Sep;3;21;50;34;2020;+0200
81ee00a1951712898f766b22efb4ce56693e5b0d;Marcin Sokołowski;Thu;Sep;3;20;34;58;2020;+0200
2fdb984456ef15d0a0cb32f09fd448207fc51c5b;Dennis Yurichev;Thu;Sep;3;19;31;58;2020;+0300
b13c679afc45c087fb7b2044f1bac1cc85ebc621;Dennis Yurichev;Thu;Sep;3;19;29;29;2020;+0300
08a18a04982df94f4fe77c94e7eb6b8d72431ad2;Dennis Yurichev;Thu;Sep;3;19;25;59;2020;+0300
f78b1fc74856dc7a6c8d3496a142475eb1bfdc66;Dennis Yurichev;Thu;Sep;3;19;21;14;2020;+0300
59521177602b360d7819cd8c2aa0ff6a97d77037;Dennis Yurichev;Thu;Sep;3;19;01;08;2020;+0300
cc156708ff357bc30e87209bf7577acf9a4b1831;Marcin Sokołowski;Thu;Sep;3;11;04;37;2020;+0200
b6147f49cfcc6d7496455764017bd9c62e23d944;Marcin Sokołowski;Thu;Sep;3;11;04;27;2020;+0200
deace378c705f858242de91672900bb63076f85d;m.sokolowski;Thu;Sep;3;11;02;17;2020;+0200
659bfe082ac27997e1225d50a0583fd4fd951d0b;Dennis Yurichev;Thu;Sep;3;03;02;08;2020;+0300
21f9f834663fbd897f0b88e0e414e6af1a859a43;Dennis Yurichev;Thu;Sep;3;02;57;17;2020;+0300
f79887b0e6c23bb0a1ddbc95bb324acffcd87cf7;Marcin Sokołowski;Wed;Sep;2;14;10;00;2020;+0200
cf9ae9777f791c48dd68fc3ec8e3c0102b0dde7b;Dennis Yurichev;Wed;Sep;2;06;19;00;2020;+0300
2a39d643a198fcbec2e02592dd3f6140927a6b9c;Dennis Yurichev;Wed;Sep;2;06;13;31;2020;+0300
4b0637aafb8bf9c43b428d395086bc78e7922ba2;Dennis Yurichev;Wed;Sep;2;05;19;40;2020;+0300
efc0a87519039f5611c2ebe698789c6999f86172;Marcin Sokołowski;Tue;Sep;1;20;54;38;2020;+0200
9dcec0ba5fb6a99f20b55f0f897b48a2fb9de97a;Marcin Sokołowski;Mon;Aug;31;13;04;52;2020;+0200
863942fc1a3c6221fd765053e2cd6d08e6a33c51;Marcin Sokołowski;Mon;Aug;31;12;42;36;2020;+0200
f708dd143792e9ec008683872a8a8f8e3811aae3;Marcin Sokołowski;Mon;Aug;31;10;40;53;2020;+0200
828bb297737668d47eb99635dbdd23caaf2a3be1;Marcin Sokołowski;Sun;Aug;30;22;49;34;2020;+0200
1d643eb5d13a8fc7fd4f790705a15ddc36d99565;Marcin Sokołowski;Sat;Aug;29;20;21;41;2020;+0200
31ec742e2f9baa89e06e293e1a9edc88b054f2fd;Marcin Sokołowski;Sat;Aug;29;15;45;04;2020;+0200
